Sample ID,Date,Survey,Site,Source,PO4,SiO2,NO3+NO2,Lat,Long
NUT8472,2017-05-21,RVRS,DFO2,M,0.952,15.100,10.402,51.5208,-127.5583
NUT8473,2017-05-21,RVRS,DFO2,M,1.280,22.061,14.597,51.5208,-127.5583
NUT8474,2017-05-21,RVRS,DFO2,M,1.254,23.186,14.330,51.5208,-127.5583
NUT8475,2017-05-21,RVRS,DFO2,M,1.330,26.450,16.294,51.5208,-127.5583
NUT8476,2017-05-21,RVRS,DFO2,M,1.479,29.732,18.162,51.5208,-127.5583
NUT8477,2017-05-21,RVRS,DFO2,M,1.618,32.563,19.554,51.5208,-127.5583
NUT8478,2017-05-21,RVRS,DFO2,M,1.609,34.444,19.483,51.5208,-127.5583
NUT8479,2017-05-21,RVRS,DFO2,M,1.527,31.226,19.322,51.5208,-127.5583
NUT8480,2017-05-21,RVRS,DFO2,M,2.025,46.321,24.454,51.5208,-127.5583
NUT8481,2017-05-21,RVRS,DFO2,M,2.630,63.503,29.753,51.5208,-127.5583
NUT8563,2017-06-10,RVRS,DFO2,M,0.008,21.979,0.272,51.5208,-127.5583
NUT8564,2017-06-10,RVRS,DFO2,M,0.634,23.098,9.126,51.5208,-127.5583
NUT8565,2017-06-10,RVRS,DFO2,M,1.290,26.654,15.852,51.5208,-127.5583
NUT8566,2017-06-10,RVRS,DFO2,M,1.315,26.828,16.711,51.5208,-127.5583
NUT8567,2017-06-10,RVRS,DFO2,M,1.444,29.775,18.177,51.5208,-127.5583
NUT8568,2017-06-10,RVRS,DFO2,M,1.545,31.254,18.621,51.5208,-127.5583
NUT8569,2017-06-10,RVRS,DFO2,M,1.600,32.642,19.283,51.5208,-127.5583
NUT8570,2017-06-10,RVRS,DFO2,M,1.854,39.175,22.221,51.5208,-127.5583
NUT8571,2017-06-10,RVRS,DFO2,M,1.845,39.300,22.727,51.5208,-127.5583
NUT8572,2017-06-10,RVRS,DFO2,M,1.885,41.776,23.838,51.5208,-127.5583
